location,date,vaccine,total_vaccinations
Belgium,2021-03-12,Moderna,66659
Belgium,2021-03-12,Oxford/AstraZeneca,189450
Belgium,2021-03-12,Pfizer/BioNTech,969143
Belgium,2021-03-19,Moderna,88988
Belgium,2021-03-19,Oxford/AstraZeneca,348990
Belgium,2021-03-19,Pfizer/BioNTech,1078756
Belgium,2021-03-26,Moderna,99150
Belgium,2021-03-26,Oxford/AstraZeneca,458675
Belgium,2021-03-26,Pfizer/BioNTech,1274334
Belgium,2021-04-02,Moderna,126762
Belgium,2021-04-02,Oxford/AstraZeneca,518244
Belgium,2021-04-02,Pfizer/BioNTech,1531845
Belgium,2021-04-09,Moderna,173671
Belgium,2021-04-09,Oxford/AstraZeneca,596883
Belgium,2021-04-09,Pfizer/BioNTech,1848868
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,207973
Belgium,2021-04-16,Oxford/AstraZeneca,777221
Belgium,2021-04-16,Pfizer/BioNTech,2125356
Belgium,2021-04-23,Moderna,259051
Belgium,2021-04-23,Oxford/AstraZeneca,833754
Belgium,2021-04-23,Pfizer/BioNTech,2441181
Belgium,2021-04-30,Johnson&Johnson,2838
Belgium,2021-04-30,Moderna,285890
Belgium,2021-04-30,Oxford/AstraZeneca,898790
Belgium,2021-04-30,Pfizer/BioNTech,2796156
Belgium,2021-05-07,Johnson&Johnson,23474
Belgium,2021-05-07,Moderna,343240
Belgium,2021-05-07,Oxford/AstraZeneca,1000777
Belgium,2021-05-07,Pfizer/BioNTech,3347395
Belgium,2021-05-14,Johnson&Johnson,29009
Belgium,2021-05-14,Moderna,397477
Belgium,2021-05-14,Oxford/AstraZeneca,1093877
Belgium,2021-05-14,Pfizer/BioNTech,3797999
Belgium,2021-05-21,Johnson&Johnson,48998
Belgium,2021-05-21,Moderna,498941
Belgium,2021-05-21,Oxford/AstraZeneca,1360127
Belgium,2021-05-21,Pfizer/BioNTech,4166235
Belgium,2021-05-28,Johnson&Johnson,72469
Belgium,2021-05-28,Moderna,573081
Belgium,2021-05-28,Oxford/AstraZeneca,1459319
Belgium,2021-05-28,Pfizer/BioNTech,4607185
Belgium,2021-06-04,Johnson&Johnson,96056
Belgium,2021-06-04,Moderna,649096
Belgium,2021-06-04,Oxford/AstraZeneca,1562165
Belgium,2021-06-04,Pfizer/BioNTech,5304924
Belgium,2021-06-11,Johnson&Johnson,141814
Belgium,2021-06-11,Moderna,735277
Belgium,2021-06-11,Oxford/AstraZeneca,1748638
Belgium,2021-06-11,Pfizer/BioNTech,6058106
Belgium,2021-06-18,Johnson&Johnson,210769
Belgium,2021-06-18,Moderna,841709
Belgium,2021-06-18,Oxford/AstraZeneca,1882779
Belgium,2021-06-18,Pfizer/BioNTech,6772987
Belgium,2021-06-25,Johnson&Johnson,243243
Belgium,2021-06-25,Moderna,952006
Belgium,2021-06-25,Oxford/AstraZeneca,1948107
Belgium,2021-06-25,Pfizer/BioNTech,7450978
Belgium,2021-07-02,Johnson&Johnson,244578
Belgium,2021-07-02,Moderna,968749
Belgium,2021-07-02,Oxford/AstraZeneca,1957432
Belgium,2021-07-02,Pfizer/BioNTech,7492892
Bulgaria,2021-01-01,Pfizer/BioNTech,0
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-15,Pfizer/BioNTech,17962
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-22,Pfizer/BioNTech,25300
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-01-29,Pfizer/BioNTech,40072
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-05,Oxford/AstraZeneca,10
Bulgaria,2021-02-05,Pfizer/BioNTech,54821
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
Bulgaria,2021-02-12,Pfizer/BioNTech,70020
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
Bulgaria,2021-02-19,Pfizer/BioNTech,83960
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
Bulgaria,2021-02-26,Pfizer/BioNTech,104340
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
Bulgaria,2021-03-05,Pfizer/BioNTech,129880
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
Bulgaria,2021-03-12,Pfizer/BioNTech,147683
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
Bulgaria,2021-03-19,Pfizer/BioNTech,168956
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
Bulgaria,2021-03-26,Pfizer/BioNTech,195704
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
Bulgaria,2021-04-02,Pfizer/BioNTech,228583
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
Bulgaria,2021-04-09,Pfizer/BioNTech,275118
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
Bulgaria,2021-04-16,Pfizer/BioNTech,322422
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
Bulgaria,2021-04-23,Pfizer/BioNTech,382650
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
Bulgaria,2021-04-30,Pfizer/BioNTech,452036
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451
Bulgaria,2021-05-07,Pfizer/BioNTech,514960
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379
Bulgaria,2021-05-14,Pfizer/BioNTech,606439
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422
Bulgaria,2021-05-21,Pfizer/BioNTech,690983
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232
Bulgaria,2021-05-28,Pfizer/BioNTech,754371
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357
Bulgaria,2021-06-04,Pfizer/BioNTech,827459
Bulgaria,2021-06-11,Johnson&Johnson,17987
Bulgaria,2021-06-11,Moderna,202784
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900
Bulgaria,2021-06-11,Pfizer/BioNTech,898271
Bulgaria,2021-06-18,Johnson&Johnson,25928
Bulgaria,2021-06-18,Moderna,216421
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870
Bulgaria,2021-06-18,Pfizer/BioNTech,949706
Bulgaria,2021-06-25,Johnson&Johnson,33099
Bulgaria,2021-06-25,Moderna,225728
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990
Bulgaria,2021-06-25,Pfizer/BioNTech,997114
Bulgaria,2021-07-02,Johnson&Johnson,37180
Bulgaria,2021-07-02,Moderna,225728
Bulgaria,2021-07-02,Oxford/AstraZeneca,470990
Bulgaria,2021-07-02,Pfizer/BioNTech,997114
Chile,2020-12-24,Pfizer/BioNTech,420
Chile,2020-12-25,Pfizer/BioNTech,5198
Chile,2020-12-26,Pfizer/BioNTech,8341
Chile,2020-12-27,Pfizer/BioNTech,8652
Chile,2020-12-28,Pfizer/BioNTech,8652
Chile,2020-12-29,Pfizer/BioNTech,8652
Chile,2020-12-30,Pfizer/BioNTech,8652
Chile,2020-12-31,Pfizer/BioNTech,8652
Chile,2021-01-01,Pfizer/BioNTech,8652
Chile,2021-01-02,Pfizer/BioNTech,8652
Chile,2021-01-03,Pfizer/BioNTech,8652
Chile,2021-01-04,Pfizer/BioNTech,9057
Chile,2021-01-05,Pfizer/BioNTech,10500
Chile,2021-01-06,Pfizer/BioNTech,10705
Chile,2021-01-07,Pfizer/BioNTech,10705
Chile,2021-01-08,Pfizer/BioNTech,10705
Chile,2021-01-09,Pfizer/BioNTech,10705
Chile,2021-01-10,Pfizer/BioNTech,10705
Chile,2021-01-11,Pfizer/BioNTech,10705
Chile,2021-01-12,Pfizer/BioNTech,10705
Chile,2021-01-13,Pfizer/BioNTech,11738
Chile,2021-01-14,Pfizer/BioNTech,18652
Chile,2021-01-15,Pfizer/BioNTech,22083
Chile,2021-01-16,Pfizer/BioNTech,22173
Chile,2021-01-17,Pfizer/BioNTech,22173
Chile,2021-01-18,Pfizer/BioNTech,33212
Chile,2021-01-19,Pfizer/BioNTech,52568
Chile,2021-01-20,Pfizer/BioNTech,61873
Chile,2021-01-21,Pfizer/BioNTech,64931
Chile,2021-01-22,Pfizer/BioNTech,65343
Chile,2021-01-23,Pfizer/BioNTech,65343
Chile,2021-01-24,Pfizer/BioNTech,65343
Chile,2021-01-25,Pfizer/BioNTech,66763
Chile,2021-01-26,Pfizer/BioNTech,67379
Chile,2021-01-27,Pfizer/BioNTech,67414
Chile,2021-01-28,Pfizer/BioNTech,67414
Chile,2021-01-29,Pfizer/BioNTech,67419
Chile,2021-01-30,Pfizer/BioNTech,67420
Chile,2021-01-31,Pfizer/BioNTech,67420
Chile,2021-02-01,Pfizer/BioNTech,67420
Chile,2021-02-02,Pfizer/BioNTech,67426
Chile,2021-02-02,Sinovac,13181
Chile,2021-02-03,Pfizer/BioNTech,67426
Chile,2021-02-03,Sinovac,183544
Chile,2021-02-04,Pfizer/BioNTech,69554
Chile,2021-02-04,Sinovac,357549
Chile,2021-02-05,Pfizer/BioNTech,70242
Chile,2021-02-05,Sinovac,526224
Chile,2021-02-06,Pfizer/BioNTech,70247
Chile,2021-02-06,Sinovac,554073
Chile,2021-02-07,Pfizer/BioNTech,70249
Chile,2021-02-07,Sinovac,562707
Chile,2021-02-08,Pfizer/BioNTech,82038
Chile,2021-02-08,Sinovac,784164
Chile,2021-02-09,Pfizer/BioNTech,101507
Chile,2021-02-09,Sinovac,1026544
Chile,2021-02-10,Pfizer/BioNTech,109947
Chile,2021-02-10,Sinovac,1298866
Chile,2021-02-11,Pfizer/BioNTech,113017
Chile,2021-02-11,Sinovac,1550033
Chile,2021-02-12,Pfizer/BioNTech,113377
Chile,2021-02-12,Sinovac,1779120
Chile,2021-02-13,Pfizer/BioNTech,113410
Chile,2021-02-13,Sinovac,1808640
Chile,2021-02-14,Pfizer/BioNTech,113410
Chile,2021-02-14,Sinovac,1813107
Chile,2021-02-15,Pfizer/BioNTech,113411
Chile,2021-02-15,Sinovac,2078968
Chile,2021-02-16,Pfizer/BioNTech,113423
Chile,2021-02-16,Sinovac,2298995
Chile,2021-02-17,Pfizer/BioNTech,113423
Chile,2021-02-17,Sinovac,2487035
Chile,2021-02-18,Pfizer/BioNTech,113426
Chile,2021-02-18,Sinovac,2642291
Chile,2021-02-19,Pfizer/BioNTech,113426
Chile,2021-02-19,Sinovac,2784411
Chile,2021-02-20,Pfizer/BioNTech,113428
Chile,2021-02-20,Sinovac,2794050
Chile,2021-02-21,Pfizer/BioNTech,113428
Chile,2021-02-21,Sinovac,2795212
Chile,2021-02-22,Pfizer/BioNTech,125524
Chile,2021-02-22,Sinovac,2891248
Chile,2021-02-23,Pfizer/BioNTech,150370
Chile,2021-02-23,Sinovac,2960649
Chile,2021-02-24,Pfizer/BioNTech,178891
Chile,2021-02-24,Sinovac,3018402
Chile,2021-02-25,Pfizer/BioNTech,212601
Chile,2021-02-25,Sinovac,3070763
Chile,2021-02-26,Pfizer/BioNTech,242312
Chile,2021-02-26,Sinovac,3119423
Chile,2021-02-27,Pfizer/BioNTech,248573
Chile,2021-02-27,Sinovac,3123145
Chile,2021-02-28,Pfizer/BioNTech,248575
Chile,2021-02-28,Sinovac,3123498
Chile,2021-03-01,Pfizer/BioNTech,263417
Chile,2021-03-01,Sinovac,3246158
Chile,2021-03-02,Pfizer/BioNTech,294253
Chile,2021-03-02,Sinovac,3386603
Chile,2021-03-03,Pfizer/BioNTech,312765
Chile,2021-03-03,Sinovac,3679934
Chile,2021-03-04,Pfizer/BioNTech,321824
Chile,2021-03-04,Sinovac,3981360
Chile,2021-03-05,Pfizer/BioNTech,327564
Chile,2021-03-05,Sinovac,4273394
Chile,2021-03-06,Pfizer/BioNTech,327908
Chile,2021-03-06,Sinovac,4306829
Chile,2021-03-07,Pfizer/BioNTech,328014
Chile,2021-03-07,Sinovac,4314681
Chile,2021-03-08,Pfizer/BioNTech,340554
Chile,2021-03-08,Sinovac,4652674
Chile,2021-03-09,Pfizer/BioNTech,378049
Chile,2021-03-09,Sinovac,4991624
Chile,2021-03-10,Pfizer/BioNTech,419575
Chile,2021-03-10,Sinovac,5351342
Chile,2021-03-11,Pfizer/BioNTech,465261
Chile,2021-03-11,Sinovac,5722635
Chile,2021-03-12,Pfizer/BioNTech,482604
Chile,2021-03-12,Sinovac,6079545
Chile,2021-03-13,Pfizer/BioNTech,483156
Chile,2021-03-13,Sinovac,6129442
Chile,2021-03-14,Pfizer/BioNTech,483156
Chile,2021-03-14,Sinovac,6136026
Chile,2021-03-15,Pfizer/BioNTech,506916
Chile,2021-03-15,Sinovac,6542359
Chile,2021-03-16,Pfizer/BioNTech,560125
Chile,2021-03-16,Sinovac,6899005
Chile,2021-03-17,Pfizer/BioNTech,615156
Chile,2021-03-17,Sinovac,7210770
Chile,2021-03-18,Pfizer/BioNTech,663886
Chile,2021-03-18,Sinovac,7496078
Chile,2021-03-19,Pfizer/BioNTech,683037
Chile,2021-03-19,Sinovac,7767440
Chile,2021-03-20,Pfizer/BioNTech,684893
Chile,2021-03-20,Sinovac,7799713
Chile,2021-03-21,Pfizer/BioNTech,684894
Chile,2021-03-21,Sinovac,7803726
Chile,2021-03-22,Pfizer/BioNTech,718096
Chile,2021-03-22,Sinovac,8036367
Chile,2021-03-23,Pfizer/BioNTech,774646
Chile,2021-03-23,Sinovac,8217290
Chile,2021-03-24,Pfizer/BioNTech,826051
Chile,2021-03-24,Sinovac,8383439
Chile,2021-03-25,Pfizer/BioNTech,879586
Chile,2021-03-25,Sinovac,8541512
Chile,2021-03-26,Pfizer/BioNTech,917321
Chile,2021-03-26,Sinovac,8720740
Chile,2021-03-27,Pfizer/BioNTech,919311
Chile,2021-03-27,Sinovac,8734392
Chile,2021-03-28,Pfizer/BioNTech,919311
Chile,2021-03-28,Sinovac,8735785
Chile,2021-03-29,Pfizer/BioNTech,940826
Chile,2021-03-29,Sinovac,8980476
Chile,2021-03-30,Pfizer/BioNTech,997486
Chile,2021-03-30,Sinovac,9201604
Chile,2021-03-31,Pfizer/BioNTech,1043039
Chile,2021-03-31,Sinovac,9435717
Chile,2021-04-01,Pfizer/BioNTech,1066293
Chile,2021-04-01,Sinovac,9715221
Chile,2021-04-02,Pfizer/BioNTech,1066516
Chile,2021-04-02,Sinovac,9722025
Chile,2021-04-03,Pfizer/BioNTech,1066707
Chile,2021-04-03,Sinovac,9725057
Chile,2021-04-04,Pfizer/BioNTech,1066709
Chile,2021-04-04,Sinovac,9726172
Chile,2021-04-05,Pfizer/BioNTech,1097350
Chile,2021-04-05,Sinovac,9979744
Chile,2021-04-06,Pfizer/BioNTech,1179393
Chile,2021-04-06,Sinovac,10136729
Chile,2021-04-07,Pfizer/BioNTech,1268044
Chile,2021-04-07,Sinovac,10280702
Chile,2021-04-08,Pfizer/BioNTech,1345712
Chile,2021-04-08,Sinovac,10441938
Chile,2021-04-09,Pfizer/BioNTech,1394376
Chile,2021-04-09,Sinovac,10611608
Chile,2021-04-10,Pfizer/BioNTech,1402106
Chile,2021-04-10,Sinovac,10629801
Chile,2021-04-11,Pfizer/BioNTech,1402603
Chile,2021-04-11,Sinovac,10631746
Chile,2021-04-12,Pfizer/BioNTech,1466713
Chile,2021-04-12,Sinovac,10803905
Chile,2021-04-13,Pfizer/BioNTech,1553974
Chile,2021-04-13,Sinovac,10950963
Chile,2021-04-14,Pfizer/BioNTech,1642297
Chile,2021-04-14,Sinovac,11090886
Chile,2021-04-15,Pfizer/BioNTech,1708679
Chile,2021-04-15,Sinovac,11230010
Chile,2021-04-16,Pfizer/BioNTech,1755730
Chile,2021-04-16,Sinovac,11373384
Chile,2021-04-17,Pfizer/BioNTech,1761493
Chile,2021-04-17,Sinovac,11389780
Chile,2021-04-18,Pfizer/BioNTech,1762148
Chile,2021-04-18,Sinovac,11391741
Chile,2021-04-19,Pfizer/BioNTech,1783451
Chile,2021-04-19,Sinovac,11562573
Chile,2021-04-20,Pfizer/BioNTech,1824477
Chile,2021-04-20,Sinovac,11707370
Chile,2021-04-21,Pfizer/BioNTech,1868905
Chile,2021-04-21,Sinovac,11838809
Chile,2021-04-22,Pfizer/BioNTech,1914768
Chile,2021-04-22,Sinovac,11992358
Chile,2021-04-23,Pfizer/BioNTech,1943006
Chile,2021-04-23,Sinovac,12146968
Chile,2021-04-24,Pfizer/BioNTech,1945318
Chile,2021-04-24,Sinovac,12162249
Chile,2021-04-25,Pfizer/BioNTech,1945319
Chile,2021-04-25,Sinovac,12163287
Chile,2021-04-26,Pfizer/BioNTech,1989756
Chile,2021-04-26,Sinovac,12314563
Chile,2021-04-27,Pfizer/BioNTech,2052499
Chile,2021-04-27,Sinovac,12422176
Chile,2021-04-28,Oxford/AstraZeneca,2404
Chile,2021-04-28,Pfizer/BioNTech,2107755
Chile,2021-04-28,Sinovac,12532814
Chile,2021-04-29,Oxford/AstraZeneca,6722
Chile,2021-04-29,Pfizer/BioNTech,2141922
Chile,2021-04-29,Sinovac,12649062
Chile,2021-04-30,Oxford/AstraZeneca,18877
Chile,2021-04-30,Pfizer/BioNTech,2174063
Chile,2021-04-30,Sinovac,12692133
Chile,2021-05-01,Oxford/AstraZeneca,19083
Chile,2021-05-01,Pfizer/BioNTech,2175290
Chile,2021-05-01,Sinovac,12692967
Chile,2021-05-02,Oxford/AstraZeneca,19201
Chile,2021-05-02,Pfizer/BioNTech,2175744
Chile,2021-05-02,Sinovac,12693858
Chile,2021-05-03,Oxford/AstraZeneca,34803
Chile,2021-05-03,Pfizer/BioNTech,2203595
Chile,2021-05-03,Sinovac,12801648
Chile,2021-05-04,Oxford/AstraZeneca,48498
Chile,2021-05-04,Pfizer/BioNTech,2252081
Chile,2021-05-04,Sinovac,12908348
Chile,2021-05-05,Oxford/AstraZeneca,57148
Chile,2021-05-05,Pfizer/BioNTech,2301110
Chile,2021-05-05,Sinovac,13025044
Chile,2021-05-06,Oxford/AstraZeneca,64105
Chile,2021-05-06,Pfizer/BioNTech,2341569
Chile,2021-05-06,Sinovac,13135149
Chile,2021-05-07,Oxford/AstraZeneca,68119
Chile,2021-05-07,Pfizer/BioNTech,2374968
Chile,2021-05-07,Sinovac,13244923
Chile,2021-05-08,Oxford/AstraZeneca,68754
Chile,2021-05-08,Pfizer/BioNTech,2380596
Chile,2021-05-08,Sinovac,13264102
Chile,2021-05-09,Oxford/AstraZeneca,68824
Chile,2021-05-09,Pfizer/BioNTech,2380659
Chile,2021-05-09,Sinovac,13265373
Chile,2021-05-10,Oxford/AstraZeneca,71710
Chile,2021-05-10,Pfizer/BioNTech,2419595
Chile,2021-05-10,Sinovac,13396583
Chile,2021-05-11,Oxford/AstraZeneca,73665
Chile,2021-05-11,Pfizer/BioNTech,2484813
Chile,2021-05-11,Sinovac,13521156
Chile,2021-05-12,Oxford/AstraZeneca,75315
Chile,2021-05-12,Pfizer/BioNTech,2543511
Chile,2021-05-12,Sinovac,13643294
Chile,2021-05-13,Oxford/AstraZeneca,75865
Chile,2021-05-13,Pfizer/BioNTech,2590611
Chile,2021-05-13,Sinovac,13752452
Chile,2021-05-14,Oxford/AstraZeneca,76098
Chile,2021-05-14,Pfizer/BioNTech,2634718
Chile,2021-05-14,Sinovac,13866717
Chile,2021-05-15,Oxford/AstraZeneca,76138
Chile,2021-05-15,Pfizer/BioNTech,2635001
Chile,2021-05-15,Sinovac,13867839
Chile,2021-05-16,Oxford/AstraZeneca,76138
Chile,2021-05-16,Pfizer/BioNTech,2635081
Chile,2021-05-16,Sinovac,13868194
Chile,2021-05-17,Oxford/AstraZeneca,76431
Chile,2021-05-17,Pfizer/BioNTech,2687962
Chile,2021-05-17,Sinovac,13986125
Chile,2021-05-18,Oxford/AstraZeneca,77858
Chile,2021-05-18,Pfizer/BioNTech,2765780
Chile,2021-05-18,Sinovac,14089765
Chile,2021-05-19,Oxford/AstraZeneca,84363
Chile,2021-05-19,Pfizer/BioNTech,2844108
Chile,2021-05-19,Sinovac,14170640
Chile,2021-05-20,Oxford/AstraZeneca,91072
Chile,2021-05-20,Pfizer/BioNTech,2913151
Chile,2021-05-20,Sinovac,14284700
Chile,2021-05-21,Oxford/AstraZeneca,91142
Chile,2021-05-21,Pfizer/BioNTech,2919613
Chile,2021-05-21,Sinovac,14287240
Chile,2021-05-22,Oxford/AstraZeneca,91632
Chile,2021-05-22,Pfizer/BioNTech,2931792
Chile,2021-05-22,Sinovac,14307268
Chile,2021-05-23,Oxford/AstraZeneca,91652
Chile,2021-05-23,Pfizer/BioNTech,2932920
Chile,2021-05-23,Sinovac,14310403
Chile,2021-05-24,Oxford/AstraZeneca,103992
